Name,Location,Rank Info
Oklahoma Christian University,"Oklahoma City, OK",#47 in Regional Universities West
Oral Roberts University,"Tulsa, OK",#47 in Regional Universities West
St. Mary's University of Minnesota,"Winona, MN",#47 in Regional Universities Midwest
University of Northwestern--St. Paul,"St. Paul, MN",#47 in Regional Universities Midwest
University of the Incarnate Word,"San Antonio, TX",#47 in Regional Universities West
Walla Walla University,"College Place, WA",#47 in Regional Universities West
Alfred University,"Alfred, NY",#48 in Regional Universities North
Arcadia University,"Glenside, PA",#48 in Regional Universities North
Central Baptist College,"Conway, AR",#48 in Regional Colleges South
Gannon University,"Erie, PA",#48 in Regional Universities North
Kentucky Christian University,"Grayson, KY",#48 in Regional Colleges South
Lee University,"Cleveland, TN",#48 in Regional Universities South
Mercyhurst University,"Erie, PA",#48 in Regional Universities North
Niagara University,"Niagara University, NY",#48 in Regional Universities North
SUNY College--Cortland,"Cortland, NY",#48 in Regional Universities North
SUNY College--Oneonta,"Oneonta, NY",#48 in Regional Universities North
SUNY--Oswego,"Oswego, NY",#48 in Regional Universities North
University of North Florida,"Jacksonville, FL",#48 in Regional Universities South
West Virginia Wesleyan College,"Buckhannon, WV",#48 in Regional Universities South
William Carey University,"Hattiesburg, MS",#48 in Regional Universities South
Bethany College,"Lindsborg, KS",#49 in Regional Colleges Midwest
York College,"York, NE",#49 in Regional Colleges Midwest
Bluefield State College,"Bluefield, WV",#50 in Regional Colleges South
Chowan University,"Murfreesboro, NC",#50 in Regional Colleges South
Georgia Gwinnett College,"Lawrenceville, GA",#50 in Regional Colleges South
St. Augustine's University,"Raleigh, NC",#50 in Regional Colleges South
University of Arkansas--Pine Bluff,"Pine Bluff, AR",#50 in Regional Colleges South
Concordia University Wisconsin,"Mequon, WI",#51 in Regional Universities Midwest
Dickinson College,"Carlisle, PA",#51 in National Liberal Arts Colleges
Dickinson State University,"Dickinson, ND",#51 in Regional Colleges Midwest
Eastern Illinois University,"Charleston, IL",#51 in Regional Universities Midwest
North Central University,"Minneapolis, MN",#51 in Regional Colleges Midwest
Rhodes College,"Memphis, TN",#51 in National Liberal Arts Colleges
Robert Morris University,"Chicago, IL",#51 in Regional Universities Midwest
Coastal Carolina University,"Conway, SC",#52 in Regional Universities South
Jacksonville University,"Jacksonville, FL",#52 in Regional Universities South
Keiser University,"Ft. Lauderdale, FL",#52 in Regional Universities South
Marymount University,"Arlington, VA",#52 in Regional Universities South
Mississippi University for Women,"Columbus, MS",#52 in Regional Universities South
Pennsylvania State University--University Park,"University Park, PA",#52 in National Universities
University of Illinois--Urbana-Champaign,"Champaign, IL",#52 in National Universities
Crown College,"St. Bonifacius, MN",#53 in Regional Colleges Midwest
DePauw University,"Greencastle, IN",#53 in National Liberal Arts Colleges
Furman University,"Greenville, SC",#53 in National Liberal Arts Colleges
Sarah Lawrence College,"Bronxville, NY",#53 in National Liberal Arts Colleges
St. John's College,"Annapolis, MD",#53 in National Liberal Arts Colleges
Alverno College,"Milwaukee, WI",#54 in Regional Universities Midwest
Iowa Wesleyan University,"Mount Pleasant, IA",#54 in Regional Colleges Midwest
Midland University,"Fremont, NE",#54 in Regional Colleges Midwest
Morningside College,"Sioux City, IA",#54 in Regional Universities Midwest
Mount Mercy University,"Cedar Rapids, IA",#54 in Regional Universities Midwest
Ohio State University--Columbus,"Columbus, OH",#54 in National Universities
Olivet Nazarene University,"Bourbonnais, IL",#54 in Regional Universities Midwest
University of Georgia,"Athens, GA",#54 in National Universities
University of Mary Hardin-Baylor,"Belton, TX",#54 in Regional Universities West
University of Wisconsin--Stevens Point,"Stevens Point, WI",#54 in Regional Universities Midwest
Ursuline College,"Pepper Pike, OH",#54 in Regional Universities Midwest
California State University--Stanislaus,"Turlock, CA",#55 in Regional Universities West
College of Coastal Georgia,"Brunswick, GA",#55 in Regional Colleges South
Holy Names University,"Oakland, CA",#55 in Regional Universities West
University of Holy Cross,"New Orleans, LA",#55 in Regional Colleges South
CUNY--City College,"New York, NY",#56 in Regional Universities North
Dunwoody College of Technology,"Minneapolis, MN",#56 in Regional Colleges Midwest
George Washington University,"Washington, DC",#56 in National Universities
MacMurray College,"Jacksonville, IL",#56 in Regional Colleges Midwest
Maranatha Baptist University,"Watertown, WI",#56 in Regional Colleges Midwest
Marywood University,"Scranton, PA",#56 in Regional Universities North
Merrimack College,"North Andover, MA",#56 in Regional Universities North
Notre Dame of Maryland University,"Baltimore, MD",#56 in Regional Universities North
Purdue University--West Lafayette,"West Lafayette, IN",#56 in National Universities
Seton Hill University,"Greensburg, PA",#56 in Regional Universities North
SUNY--Fredonia,"Fredonia, NY",#56 in Regional Universities North
University of Connecticut,"Storrs, CT",#56 in National Universities
University of Texas--Austin,"Austin, TX",#56 in National Universities
University of Washington,"Seattle, WA",#56 in National Universities
Alaska Pacific University,"Anchorage, AK",#57 in Regional Universities West
Brenau University,"Gainesville, GA",#57 in Regional Universities South
Columbia College,"Columbia, SC",#57 in Regional Universities South
Glenville State College,"Glenville, WV",#57 in Regional Colleges South
Palm Beach Atlantic University,"West Palm Beach, FL",#57 in Regional Universities South
Sonoma State University,"Rohnert Park, CA",#57 in Regional Universities West
St. Olaf College,"Northfield, MN",#57 in National Liberal Arts Colleges
Truett McConnell University,"Cleveland, GA",#57 in Regional Colleges South
University of Tennessee--Chattanooga,"Chattanooga, TN",#57 in Regional Universities South
Webber International University,"Babson Park, FL",#57 in Regional Colleges South
Lawrence University,"Appleton, WI",#58 in National Liberal Arts Colleges
St. Lawrence University,"Canton, NY",#58 in National Liberal Arts Colleges
Thomas Aquinas College,"Santa Paula, CA",#58 in National Liberal Arts Colleges
California State University--Los Angeles,"Los Angeles, CA",#59 in Regional Universities West
Grace University,"Omaha, NE",#59 in Regional Colleges Midwest
Hawaii Pacific University,"Honolulu, HI",#59 in Regional Universities West
Kuyper College,"Grand Rapids, MI",#59 in Regional Colleges Midwest
Missouri Southern State University,"Joplin, MO",#59 in Regional Colleges Midwest
Texas Wesleyan University,"Fort Worth, TX",#59 in Regional Universities West
Vanguard University of Southern California,"Costa Mesa, CA",#59 in Regional Universities West
Heidelberg University,"Tiffin, OH",#60 in Regional Universities Midwest
Agnes Scott College,"Decatur, GA",#61 in National Liberal Arts Colleges
Bob Jones University,"Greenville, SC",#61 in Regional Universities South
Brigham Young University--Provo,"Provo, UT",#61 in National Universities
Fordham University,"New York, NY",#61 in National Universities
Lenoir-Rhyne University,"Hickory, NC",#61 in Regional Universities South
Morehead State University,"Morehead, KY",#61 in Regional Universities South
Muskingum University,"New Concord, OH",#61 in Regional Universities Midwest
Saint Leo University,"Saint Leo, FL",#61 in Regional Universities South
Southern Methodist University,"Dallas, TX",#61 in National Universities
Spelman College,"Atlanta, GA",#61 in National Liberal Arts Colleges
Syracuse University,"Syracuse, NY",#61 in National Universities
University of Maryland--College Park,"College Park, MD",#61 in National Universities
University of North Georgia,"Dahlonega, GA",#61 in Regional Universities South
University of Wisconsin--Whitewater,"Whitewater, WI",#61 in Regional Universities Midwest
Western Illinois University,"Macomb, IL",#61 in Regional Universities Midwest
Worcester Polytechnic Institute,"Worcester, MA",#61 in National Universities
King's College,"Wilkes-Barre, PA",#62 in Regional Universities North
SUNY Maritime College,"Throggs Neck, NY",#62 in Regional Universities North
California State University--San Bernardino,"San Bernardino, CA",#63 in Regional Universities West
College of Wooster,"Wooster, OH",#63 in National Liberal Arts Colleges
Northwest University,"Kirkland, WA",#63 in Regional Universities West
University of Houston--Clear Lake,"Houston, TX",#63 in Regional Universities West
Wheaton College,"Wheaton, IL",#63 in National Liberal Arts Colleges
College at Brockport--SUNY,"Brockport, NY",#64 in Regional Universities North
DeSales University,"Center Valley, PA",#64 in Regional Universities North
Fairleigh Dickinson University,"Teaneck, NJ",#64 in Regional Universities North
Johnson & Wales University,"Providence, RI",#64 in Regional Universities North
Philadelphia University,"Philadelphia, PA",#64 in Regional Universities North
Spring Arbor University,"Spring Arbor, MI",#64 in Regional Universities Midwest
St. Xavier University,"Chicago, IL",#64 in Regional Universities Midwest
University of Illinois--Springfield,"Springfield, IL",#64 in Regional Universities Midwest
University of Nebraska--Kearney,"Kearney, NE",#64 in Regional Universities Midwest
Walsh University,"North Canton, OH",#64 in Regional Universities Midwest
West Chester University of Pennsylvania,"West Chester, PA",#64 in Regional Universities North
Western New England University,"Springfield, MA",#64 in Regional Universities North
Winona State University,"Winona, MN",#64 in Regional Universities Midwest
Hobart and William Smith Colleges,"Geneva, NY",#65 in National Liberal Arts Colleges
Virginia Military Institute,"Lexington, VA",#65 in National Liberal Arts Colleges
Wabash College,"Crawfordsville, IN",#65 in National Liberal Arts Colleges
California State University--Channel Islands,"Camarillo, CA",#66 in Regional Universities West
Carson-Newman University,"Jefferson City, TN",#66 in Regional Universities South
Corban University,"Salem, OR",#66 in Regional Universities West
University of Hawaii--Hilo,"Hilo, HI",#66 in Regional Universities West
University of South Florida--St. Petersburg,"St. Petersburg, FL",#66 in Regional Universities South
Woodbury University,"Burbank, CA",#66 in Regional Universities West
Clemson University,"Clemson, SC",#67 in National Universities
Arkansas State University,"State University, AR",#68 in Regional Universities South
Berea College,"Berea, KY",#68 in National Liberal Arts Colleges
Bryan College,"Dayton, TN",#68 in Regional Universities South
Earlham College,"Richmond, IN",#68 in National Liberal Arts Colleges
Piedmont College,"Demorest, GA",#68 in Regional Universities South
Southern Adventist University,"Collegedale, TN",#68 in Regional Universities South
University of Pittsburgh,"Pittsburgh, PA",#68 in National Universities
University of Puget Sound,"Tacoma, WA",#68 in National Liberal Arts Colleges
American University,"Washington, DC",#69 in National Universities
Rutgers University--New Brunswick,"Piscataway, NJ",#69 in National Universities
Stevens Institute of Technology,"Hoboken, NJ",#69 in National Universities
Texas A&M University--College Station,"College Station, TX",#69 in National Universities
University of Minnesota--Twin Cities,"Minneapolis, MN",#69 in National Universities
Virginia Tech,"Blacksburg, VA",#69 in National Universities
California State University--Sacramento,"Sacramento, CA",#70 in Regional Universities West
Fontbonne University,"St. Louis, MO",#70 in Regional Universities Midwest
Houston Baptist University,"Houston, TX",#70 in Regional Universities West
Southern Illinois University--Edwardsville,"Edwardsville, IL",#70 in Regional Universities Midwest
Texas A&M International University,"Laredo, TX",#70 in Regional Universities West
University of Wisconsin--Stout,"Menomonie, WI",#70 in Regional Universities Midwest
Hillsdale College,"Hillsdale, MI",#71 in National Liberal Arts Colleges
Illinois Wesleyan University,"Bloomington, IL",#71 in National Liberal Arts Colleges
Keene State College,"Keene, NH",#71 in Regional Universities North
Knox College,"Galesburg, IL",#71 in National Liberal Arts Colleges
Muhlenberg College,"Allentown, PA",#71 in National Liberal Arts Colleges
St. Joseph's College New York,"Brooklyn, NY",#71 in Regional Universities North
SUNY--Plattsburgh,"Plattsburgh, NY",#71 in Regional Universities North
Wentworth Institute of Technology,"Boston, MA",#71 in Regional Universities North
Wofford College,"Spartanburg, SC",#71 in National Liberal Arts Colleges
University of Central Arkansas,"Conway, AR",#72 in Regional Universities South
Anderson University,"Anderson, SC",#73 in Regional Universities South
California State University--Northridge,"Northridge, CA",#73 in Regional Universities West
Eastern Kentucky University,"Richmond, KY",#73 in Regional Universities South
Florida Gulf Coast University,"Fort Myers, FL",#73 in Regional Universities South
McKendree University,"Lebanon, IL",#73 in Regional Universities Midwest
Northern Kentucky University,"Highland Heights, KY",#73 in Regional Universities South
Stephen F. Austin State University,"Nacogdoches, TX",#73 in Regional Universities West
University of Wisconsin--Oshkosh,"Oshkosh, WI",#73 in Regional Universities Midwest
Western Oregon University,"Monmouth, OR",#73 in Regional Universities West
Baylor University,"Waco, TX",#75 in National Universities
Chatham University,"Pittsburgh, PA",#75 in Regional Universities North
Colorado School of Mines,"Golden, CO",#75 in National Universities
Concordia University Chicago,"River Forest, IL",#75 in Regional Universities Midwest
Geneva College,"Beaver Falls, PA",#75 in Regional Universities North
Iona College,"New Rochelle, NY",#75 in Regional Universities North
Judson University,"Elgin, IL",#75 in Regional Universities Midwest
Malone University,"Canton, OH",#75 in Regional Universities Midwest
MidAmerica Nazarene University,"Olathe, KS",#75 in Regional Universities Midwest
North Park University,"Chicago, IL",#75 in Regional Universities Midwest
University of Massachusetts--Amherst,"Amherst, MA",#75 in National Universities
University of Saint Francis,"Fort Wayne, IN",#75 in Regional Universities Midwest
University of Sioux Falls,"Sioux Falls, SD",#75 in Regional Universities Midwest
William Woods University,"Fulton, MO",#75 in Regional Universities Midwest
Beloit College,"Beloit, WI",#76 in National Liberal Arts Colleges
California State University--San Marcos,"San Marcos, CA",#76 in Regional Universities West
Hendrix College,"Conway, AR",#76 in National Liberal Arts Colleges
Kalamazoo College,"Kalamazoo, MI",#76 in National Liberal Arts Colleges
Lewis & Clark College,"Portland, OR",#76 in National Liberal Arts Colleges
Southern Oregon University,"Ashland, OR",#76 in Regional Universities West
Southern Utah University,"Cedar City, UT",#76 in Regional Universities West
St. John's College,"Santa Fe, NM",#76 in National Liberal Arts Colleges
University of Alaska--Anchorage,"Anchorage, AK",#76 in Regional Universities West
University of Central Oklahoma,"Edmond, OK",#76 in Regional Universities West
Wheaton College,"Norton, MA",#76 in National Liberal Arts Colleges
Belhaven University,"Jackson, MS",#78 in Regional Universities South
Eastern University,"St. Davids, PA",#78 in Regional Universities North
Miami University--Oxford,"Oxford, OH",#78 in National Universities
Roberts Wesleyan College,"Rochester, NY",#78 in Regional Universities North
Salisbury University,"Salisbury, MD",#78 in Regional Universities North
Slippery Rock University of Pennsylvania,"Slippery Rock, PA",#78 in Regional Universities North
Texas Christian University,"Fort Worth, TX",#78 in National Universities
University of Charleston,"Charleston, WV",#78 in Regional Universities South
University of Iowa,"Iowa City, IA",#78 in National Universities
University of New England,"Biddeford, ME",#78 in Regional Universities North
University of St. Joseph,"West Hartford, CT",#78 in Regional Universities North
Wilkes University,"Wilkes-Barre, PA",#78 in Regional Universities North
York College of Pennsylvania,"York, PA",#78 in Regional Universities North
Lincoln Memorial University,"Harrogate, TN",#80 in Regional Universities South
North Carolina Central University,"Durham, NC",#80 in Regional Universities South
North Greenville University,"Tigerville, SC",#80 in Regional Universities South
St. Thomas University,"Miami Gardens, FL",#80 in Regional Universities South
Thomas More College,"Crestview Hills, KY",#80 in Regional Universities South
Clark University,"Worcester, MA",#81 in National Universities
Florida State University,"Tallahassee, FL",#81 in National Universities
Lubbock Christian University,"Lubbock, TX",#81 in Regional Universities West
Michigan State University,"East Lansing, MI",#81 in National Universities
North Carolina State University--Raleigh,"Raleigh, NC",#81 in National Universities
Oklahoma Wesleyan University,"Bartlesville, OK",#81 in Regional Universities West
Prescott College,"Prescott, AZ",#81 in Regional Universities West
Simpson University,"Redding, CA",#81 in Regional Universities West
University of California--Santa Cruz,"Santa Cruz, CA",#81 in National Universities
University of Delaware,"Newark, DE",#81 in National Universities
West Texas A&M University,"Canyon, TX",#81 in Regional Universities West
Allegheny College,"Meadville, PA",#82 in National Liberal Arts Colleges
Reed College,"Portland, OR",#82 in National Liberal Arts Colleges
Willamette University,"Salem, OR",#82 in National Liberal Arts Colleges
Ferris State University,"Big Rapids, MI",#83 in Regional Universities Midwest
Northern Michigan University,"Marquette, MI",#83 in Regional Universities Midwest
Pittsburg State University,"Pittsburg, KS",#83 in Regional Universities Midwest
Quincy University,"Quincy, IL",#83 in Regional Universities Midwest
Gustavus Adolphus College,"St. Peter, MN",#85 in National Liberal Arts Colleges
Methodist University,"Fayetteville, NC",#85 in Regional Universities South
St. John's University,"Collegeville, MN",#85 in National Liberal Arts Colleges
University of North Alabama,"Florence, AL",#85 in Regional Universities South
CUNY--Brooklyn College,"Brooklyn, NY",#86 in Regional Universities North
Eastern Connecticut State University,"Willimantic, CT",#86 in Regional Universities North
Eastern Washington University,"Cheney, WA",#86 in Regional Universities West
Norwich University,"Northfield, VT",#86 in Regional Universities North
Our Lady of the Lake University,"San Antonio, TX",#86 in Regional Universities West
Southern New Hampshire University,"Manchester, NH",#86 in Regional Universities North
Stevenson University,"Stevenson, MD",#86 in Regional Universities North
Weber State University,"Ogden, UT",#86 in Regional Universities West
Western State Colorado University,"Gunnison, CO",#86 in Regional Universities West
Bennington College,"Bennington, VT",#87 in National Liberal Arts Colleges
Binghamton University--SUNY,"Binghamton, NY",#87 in National Universities
College of St. Benedict,"St. Joseph, MN",#87 in National Liberal Arts Colleges
College of St. Mary,"Omaha, NE",#87 in Regional Universities Midwest
Cornell College,"Mount Vernon, IA",#87 in National Liberal Arts Colleges
Elizabeth City State University,"Elizabeth City, NC",#87 in Regional Universities South
Grace College and Seminary,"Winona Lake, IN",#87 in Regional Universities Midwest
Luther College,"Decorah, IA",#87 in National Liberal Arts Colleges
Millsaps College,"Jackson, MS",#87 in National Liberal Arts Colleges
Mount St. Joseph University,"Cincinnati, OH",#87 in Regional Universities Midwest
Northwest Missouri State University,"Maryville, MO",#87 in Regional Universities Midwest
Pfeiffer University,"Misenheimer, NC",#87 in Regional Universities South
Stephens College,"Columbia, MO",#87 in Regional Universities Midwest
Transylvania University,"Lexington, KY",#87 in National Liberal Arts Colleges
University of Central Missouri,"Warrensburg, MO",#87 in Regional Universities Midwest
University of Denver,"Denver, CO",#87 in National Universities
University of Tulsa,"Tulsa, OK",#87 in National Universities
Charleston Southern University,"Charleston, SC",#89 in Regional Universities South
Francis Marion University,"Florence, SC",#89 in Regional Universities South
Jacksonville State University,"Jacksonville, AL",#89 in Regional Universities South
King University,"Bristol, TN",#89 in Regional Universities South
Midway University,"Midway, KY",#89 in Regional Universities South
Troy University,"Troy, AL",#89 in Regional Universities South
Indiana University--Bloomington,"Bloomington, IN",#90 in National Universities
Marquette University,"Milwaukee, WI",#90 in National Universities
University of Colorado--Boulder,"Boulder, CO",#90 in National Universities
University of San Diego,"San Diego, CA",#90 in National Universities
University of Texas--Tyler,"Tyler, TX",#90 in Regional Universities West
Champlain College,"Burlington, VT",#91 in Regional Universities North
College of Saint Rose,"Albany, NY",#91 in Regional Universities North
Midwestern State University,"Wichita Falls, TX",#91 in Regional Universities West
Northwest Christian University,"Eugene, OR",#91 in Regional Universities West
SUNY College--Potsdam,"Potsdam, NY",#91 in Regional Universities North
University of Texas of the Permian Basin,"Odessa, TX",#91 in Regional Universities West
Austin College,"Sherman, TX",#93 in National Liberal Arts Colleges
College of the Atlantic,"Bar Harbor, ME",#93 in National Liberal Arts Colleges
Madonna University,"Livonia, MI",#93 in Regional Universities Midwest
Mount Vernon Nazarene University,"Mount Vernon, OH",#93 in Regional Universities Midwest
Southeast Missouri State University,"Cape Girardeau, MO",#93 in Regional Universities Midwest
Tiffin University,"Tiffin, OH",#93 in Regional Universities Midwest
University of Wisconsin--River Falls,"River Falls, WI",#93 in Regional Universities Midwest
Ursinus College,"Collegeville, PA",#93 in National Liberal Arts Colleges
Washburn University,"Topeka, KS",#93 in Regional Universities Midwest
California State University--Bakersfield,"Bakersfield, CA",#94 in Regional Universities West
Central Connecticut State University,"New Britain, CT",#94 in Regional Universities North
Drexel University,"Philadelphia, PA",#94 in National Universities
Millersville University of Pennsylvania,"Millersville, PA",#94 in Regional Universities North
University of New Haven,"West Haven, CT",#94 in Regional Universities North
Yeshiva University,"New York, NY",#94 in National Universities
Alcorn State University,"Lorman, MS",#95 in Regional Universities South
Auburn University--Montgomery,"Montgomery, AL",#95 in Regional Universities South
Henderson State University,"Arkadelphia, AR",#95 in Regional Universities South
Lynn University,"Boca Raton, FL",#95 in Regional Universities South
Nicholls State University,"Thibodaux, LA",#95 in Regional Universities South
Tusculum University,"Greeneville, TN",#95 in Regional Universities South
University of North Texas at Dallas,"Dallas, TX",#95 in Regional Universities West
Hampden-Sydney College,"Hampden-Sydney, VA",#96 in National Liberal Arts Colleges
Southwestern University,"Georgetown, TX",#96 in National Liberal Arts Colleges
St. Mary's College of Maryland,"St. Marys City, MD",#96 in National Liberal Arts Colleges
Washington College,"Chestertown, MD",#96 in National Liberal Arts Colleges
Westmont College,"Santa Barbara, CA",#96 in National Liberal Arts Colleges
Rochester Institute of Technology,"Rochester, NY",#97 in National Universities
The Sage Colleges,"Troy, NY",#97 in Regional Universities North
Saint Peter's University,"Jersey City, NJ",#97 in Regional Universities North
Stony Brook University--SUNY,"Stony Brook, NY",#97 in National Universities
SUNY College of Environmental Science and Forestry,"Syracuse, NY",#97 in National Universities
University at Buffalo--SUNY,"Buffalo, NY",#97 in National Universities
University of Oklahoma,"Norman, OK",#97 in National Universities
University of Vermont,"Burlington, VT",#97 in National Universities
Waynesburg University,"Waynesburg, PA",#97 in Regional Universities North
Wheelock College,"Boston, MA",#97 in Regional Universities North
Greenville University,"Greenville, IL",#99 in Regional Universities Midwest
Minnesota State University--Mankato,"Mankato, MN",#99 in Regional Universities Midwest
Mount Mary University,"Milwaukee, WI",#99 in Regional Universities Midwest
Northern State University,"Aberdeen, SD",#99 in Regional Universities Midwest
University of Michigan--Flint,"Flint, MI",#99 in Regional Universities Midwest
University of Wisconsin--Green Bay,"Green Bay, WI",#99 in Regional Universities Midwest
University of Wisconsin--Platteville,"Platteville, WI",#99 in Regional Universities Midwest
Augustana College,"Rock Island, IL",#101 in National Liberal Arts Colleges
Lake Forest College,"Lake Forest, IL",#101 in National Liberal Arts Colleges
Montreat College,"Montreat, NC",#101 in Regional Universities South
New College of Florida,"Sarasota, FL",#101 in National Liberal Arts Colleges
Ohio Wesleyan University,"Delaware, OH",#101 in National Liberal Arts Colleges
Shippensburg University of Pennsylvania,"Shippensburg, PA",#101 in Regional Universities North
St. Mary's College,"Notre Dame, IN",#101 in National Liberal Arts Colleges
Bay Path University,"Longmeadow, MA",#102 in Regional Universities North
Bloomsburg University of Pennsylvania,"Bloomsburg, PA",#102 in Regional Universities North
Bridgewater State University,"Bridgewater, MA",#102 in Regional Universities North
Caldwell University,"Caldwell, NJ",#102 in Regional Universities North
College of Our Lady of the Elms,"Chicopee, MA",#102 in Regional Universities North
LIU Post,"Brookville, NY",#102 in Regional Universities North
Manhattanville College,"Purchase, NY",#102 in Regional Universities North
Point Park University,"Pittsburgh, PA",#102 in Regional Universities North
University of North Carolina--Pembroke,"Pembroke, NC",#102 in Regional Universities South
Virginia State University,"Petersburg, VA",#102 in Regional Universities South
William Paterson University of New Jersey,"Wayne, NJ",#102 in Regional Universities North
Auburn University,"Auburn, AL",#103 in National Universities
Illinois Institute of Technology,"Chicago, IL",#103 in National Universities
Loyola University Chicago,"Chicago, IL",#103 in National Universities
University of New Hampshire,"Durham, NH",#103 in National Universities
University of Oregon,"Eugene, OR",#103 in National Universities
University of South Carolina,"Columbia, SC",#103 in National Universities
University of Tennessee,"Knoxville, TN",#103 in National Universities
Arkansas Tech University,"Russellville, AR",#104 in Regional Universities South
McNeese State University,"Lake Charles, LA",#104 in Regional Universities South
Albany State University,"Albany, GA",#106 in Regional Universities South
Amridge University,"Montgomery, AL",#106 in Regional Universities South
Campbellsville University,"Campbellsville, KY",#106 in Regional Universities South
Columbus State University,"Columbus, GA",#106 in Regional Universities South
Concordia University--St. Paul,"St. Paul, MN",#106 in Regional Universities Midwest
Cumberland University,"Lebanon, TN",#106 in Regional Universities South
Faulkner University,"Montgomery, AL",#106 in Regional Universities South
Hope College,"Holland, MI",#106 in National Liberal Arts Colleges
Juniata College,"Huntingdon, PA",#106 in National Liberal Arts Colleges
Louisiana College,"Pineville, LA",#106 in Regional Universities South
Missouri State University,"Springfield, MO",#106 in Regional Universities Midwest
Ohio Dominican University,"Columbus, OH",#106 in Regional Universities Midwest
St. Anselm College,"Manchester, NH",#106 in National Liberal Arts Colleges
St. Michael's College,"Colchester, VT",#106 in National Liberal Arts Colleges
Washington and Jefferson College,"Washington, PA",#106 in National Liberal Arts Colleges
Winston-Salem State University,"Winston-Salem, NC",#106 in Regional Universities South
Bemidji State University,"Bemidji, MN",#109 in Regional Universities Midwest
Rockford University,"Rockford, IL",#109 in Regional Universities Midwest
Roosevelt University,"Chicago, IL",#109 in Regional Universities Midwest
University of Dubuque,"Dubuque, IA",#109 in Regional Universities Midwest
University of Mary,"Bismarck, ND",#109 in Regional Universities Midwest
Wayne State College,"Wayne, NE",#109 in Regional Universities Midwest
Howard University,"Washington, DC",#110 in National Universities
University of Alabama,"Tuscaloosa, AL",#110 in National Universities
University of San Francisco,"San Francisco, CA",#110 in National Universities
University of the Pacific,"Stockton, CA",#110 in National Universities
University of Utah,"Salt Lake City, UT",#110 in National Universities
Alvernia University,"Reading, PA",#111 in Regional Universities North
Carlow University,"Pittsburgh, PA",#111 in Regional Universities North
CUNY--John Jay College of Criminal Justice,"New York, NY",#111 in Regional Universities North
Stonehill College,"Easton, MA",#111 in National Liberal Arts Colleges
St. Thomas Aquinas College,"Sparkill, NY",#111 in Regional Universities North
Drew University,"Madison, NJ",#112 in National Liberal Arts Colleges
Goucher College,"Baltimore, MD",#112 in National Liberal Arts Colleges
Hanover College,"Hanover, IN",#112 in National Liberal Arts Colleges
Hollins University,"Roanoke, VA",#112 in National Liberal Arts Colleges
Principia College,"Elsah, IL",#112 in National Liberal Arts Colleges
Arizona State University--Tempe,"Tempe, AZ",#115 in National Universities
Cornerstone University,"Grand Rapids, MI",#115 in Regional Universities Midwest
Iowa State University,"Ames, IA",#115 in National Universities
Mount Marty College,"Yankton, SD",#115 in Regional Universities Midwest
Plymouth State University,"Plymouth, NH",#115 in Regional Universities North
Temple University,"Philadelphia, PA",#115 in National Universities
University of Kansas,"Lawrence, KS",#115 in National Universities
University of St. Thomas,"St. Paul, MN",#115 in National Universities
Viterbo University,"La Crosse, WI",#115 in Regional Universities Midwest
Albertus Magnus College,"New Haven, CT",#116 in Regional Universities North
Mansfield University of Pennsylvania,"Mansfield, PA",#116 in Regional Universities North
Westfield State University,"Westfield, MA",#116 in Regional Universities North
Worcester State University,"Worcester, MA",#116 in Regional Universities North
Concordia College--Moorhead,"Moorhead, MN",#117 in National Liberal Arts Colleges
Elizabethtown College,"Elizabethtown, PA",#117 in National Liberal Arts Colleges
Linfield College,"McMinnville, OR",#117 in National Liberal Arts Colleges
Marlboro College,"Marlboro, VT",#117 in National Liberal Arts Colleges
Ripon College,"Ripon, WI",#117 in National Liberal Arts Colleges
Salem College,"Winston-Salem, NC",#117 in National Liberal Arts Colleges
Dakota State University,"Madison, SD",#118 in Regional Universities Midwest
Minnesota State University--Moorhead,"Moorhead, MN",#118 in Regional Universities Midwest
Siena Heights University,"Adrian, MI",#118 in Regional Universities Midwest
St. Cloud State University,"St. Cloud, MN",#118 in Regional Universities Midwest
Cabrini University,"Radnor, PA",#120 in Regional Universities North
The Catholic University of America,"Washington, DC",#120 in National Universities
College of Mount St. Vincent,"Bronx, NY",#120 in Regional Universities North
DePaul University,"Chicago, IL",#120 in National Universities
Duquesne University,"Pittsburgh, PA",#120 in National Universities
Frostburg State University,"Frostburg, MD",#120 in Regional Universities North
Keuka College,"Keuka Park, NY",#120 in Regional Universities North
SUNY Buffalo State,"Buffalo, NY",#120 in Regional Universities North
University of Missouri,"Columbia, MO",#120 in National Universities
Western Connecticut State University,"Danbury, CT",#120 in Regional Universities North
Davenport University,"Grand Rapids, MI",#122 in Regional Universities Midwest
Emporia State University,"Emporia, KS",#122 in Regional Universities Midwest
Evangel University,"Springfield, MO",#122 in Regional Universities Midwest
Marian University,"Fond du Lac, WI",#122 in Regional Universities Midwest
Birmingham-Southern College,"Birmingham, AL",#123 in National Liberal Arts Colleges
Coe College,"Cedar Rapids, IA",#123 in National Liberal Arts Colleges
Presbyterian College,"Clinton, SC",#123 in National Liberal Arts Colleges
Clarkson University,"Potsdam, NY",#124 in National Universities
Colorado State University,"Fort Collins, CO",#124 in National Universities
Michigan Technological University,"Houghton, MI",#124 in National Universities
Seton Hall University,"South Orange, NJ",#124 in National Universities
University of Arizona,"Tucson, AZ",#124 in National Universities
University of California--Riverside,"Riverside, CA",#124 in National Universities
