Name,Location,Rank Info
California Polytechnic State University--San Luis Obispo,"San Luis Obispo, CA",#11 in Regional Universities West
Christopher Newport University,"Newport News, VA",#11 in Regional Universities South
Dartmouth College,"Hanover, NH",#11 in National Universities
Elmhurst College,"Elmhurst, IL",#11 in Regional Universities Midwest
Johns Hopkins University,"Baltimore, MD",#11 in National Universities
Millikin University,"Decatur, IL",#11 in Regional Colleges Midwest
Milwaukee School of Engineering,"Milwaukee, WI",#11 in Regional Universities Midwest
Northwestern University,"Evanston, IL",#11 in National Universities
Rockhurst University,"Kansas City, MO",#11 in Regional Universities Midwest
San Diego Christian College,"Santee, CA",#11 in Regional Colleges West
St. Catherine University,"St. Paul, MN",#11 in Regional Universities Midwest
St. Joseph's University,"Philadelphia, PA",#11 in Regional Universities North
SUNY--Geneseo,"Geneseo, NY",#11 in Regional Universities North
University of Mount Union,"Alliance, OH",#11 in Regional Colleges Midwest
Wilson College,"Chambersburg, PA",#11 in Regional Colleges North
Cazenovia College,"Cazenovia, NY",#12 in Regional Colleges North
Colby College,"Waterville, ME",#12 in National Liberal Arts Colleges
Colgate University,"Hamilton, NY",#12 in National Liberal Arts Colleges
College of Charleston,"Charleston, SC",#12 in Regional Universities South
Embry-Riddle Aeronautical University,"Daytona Beach, FL",#12 in Regional Universities South
Harvey Mudd College,"Claremont, CA",#12 in National Liberal Arts Colleges
McMurry University,"Abilene, TX",#12 in Regional Colleges West
Smith College,"Northampton, MA",#12 in National Liberal Arts Colleges
United States Military Academy,"West Point, NY",#12 in National Liberal Arts Colleges
University of Redlands,"Redlands, CA",#12 in Regional Universities West
Vassar College,"Poughkeepsie, NY",#12 in National Liberal Arts Colleges
Benedictine College,"Atchison, KS",#13 in Regional Colleges Midwest
Brigham Young University--Idaho,"Rexburg, ID",#13 in Regional Colleges West
Cedarville University,"Cedarville, OH",#13 in Regional Colleges Midwest
Howard Payne University,"Brownwood, TX",#13 in Regional Colleges West
Huntingdon College,"Montgomery, AL",#13 in Regional Colleges South
Loras College,"Dubuque, IA",#13 in Regional Colleges Midwest
Pennsylvania College of Technology,"Williamsport, PA",#13 in Regional Colleges North
Quinnipiac University,"Hamden, CT",#13 in Regional Universities North
University of Dallas,"Irving, TX",#13 in Regional Universities West
Brown University,"Providence, RI",#14 in National Universities
California Lutheran University,"Thousand Oaks, CA",#14 in Regional Universities West
Cornell University,"Ithaca, NY",#14 in National Universities
Rice University,"Houston, TX",#14 in National Universities
Simmons College,"Boston, MA",#14 in Regional Universities North
SUNY College of Technology--Alfred,"Alfred, NY",#14 in Regional Colleges North
University of North Carolina--Wilmington,"Wilmington, NC",#14 in Regional Universities South
University of South Carolina--Upstate,"Spartanburg, SC",#14 in Regional Colleges South
Vanderbilt University,"Nashville, TN",#14 in National Universities
Asbury University,"Wilmore, KY",#15 in Regional Universities South
Bellarmine University,"Louisville, KY",#15 in Regional Universities South
Farmingdale State College--SUNY,"Farmingdale, NY",#15 in Regional Colleges North
Manhattan College,"Riverdale, NY",#15 in Regional Universities North
Marymount California University,"Rancho Palos Verdes, CA",#15 in Regional Colleges West
St. Edward's University,"Austin, TX",#15 in Regional Universities West
SUNY Polytechnic Institute--Albany/Utica,"Utica, NY",#15 in Regional Universities North
Tennessee Wesleyan University,"Athens, TN",#15 in Regional Colleges South
Arizona Christian University,"Phoenix, AZ",#16 in Regional Colleges West
East Texas Baptist University,"Marshall, TX",#16 in Regional Colleges West
Hamline University,"St. Paul, MN",#16 in Regional Universities Midwest
Huntington University,"Huntington, IN",#16 in Regional Colleges Midwest
Lander University,"Greenwood, SC",#16 in Regional Colleges South
Nebraska Wesleyan University,"Lincoln, NE",#16 in Regional Universities Midwest
Pacific Lutheran University,"Tacoma, WA",#16 in Regional Universities West
Unity College,"Unity, ME",#16 in Regional Colleges North
Averett University,"Danville, VA",#17 in Regional Colleges South
Clarke University,"Dubuque, IA",#17 in Regional Colleges Midwest
Hastings College,"Hastings, NE",#17 in Regional Colleges Midwest
John Brown University,"Siloam Springs, AR",#17 in Regional Universities South
Le Moyne College,"Syracuse, NY",#17 in Regional Universities North
Newberry College,"Newberry, SC",#17 in Regional Colleges South
Point Loma Nazarene University,"San Diego, CA",#17 in Regional Universities West
SUNY College of Agriculture and Technology--Cobleskill,"Cobleskill, NY",#17 in Regional Colleges North
SUNY College of Technology--Delhi,"Delhi, NY",#17 in Regional Colleges North
University of Mary Washington,"Fredericksburg, VA",#17 in Regional Universities South
Wisconsin Lutheran College,"Milwaukee, WI",#17 in Regional Colleges Midwest
Abilene Christian University,"Abilene, TX",#18 in Regional Universities West
Baldwin Wallace University,"Berea, OH",#18 in Regional Universities Midwest
Brigham Young University--Hawaii,"Laie Oahu, HI",#18 in Regional Colleges West
Grinnell College,"Grinnell, IA",#18 in National Liberal Arts Colleges
Hamilton College,"Clinton, NY",#18 in National Liberal Arts Colleges
